id,league,season,home_team,away_team,match_date,status,home_score,away_score
final_BL_2024_000,BL,2024,Bayern Munich,Borussia Dortmund,2026-01-02 19:45:19.785135,SCHEDULED,,
final_BL_2024_001,BL,2024,Borussia Dortmund,RB Leipzig,2026-01-03 19:45:19.858135,SCHEDULED,,
final_BL_2024_002,BL,2024,RB Leipzig,Bayer Leverkusen,2026-01-04 19:45:19.861132,SCHEDULED,,
final_BL_2024_003,BL,2024,Bayer Leverkusen,Eintracht Frankfurt,2026-01-05 19:45:19.864127,SCHEDULED,,
final_BL_2024_004,BL,2024,Eintracht Frankfurt,Bayern Munich,2026-01-06 19:45:19.866125,SCHEDULED,,
final_BL_2024_005,BL,2024,Bayern Munich,Borussia Dortmund,2026-01-07 19:45:19.868125,SCHEDULED,,
final_BL_2024_006,BL,2024,Borussia Dortmund,RB Leipzig,2026-01-08 19:45:19.870128,SCHEDULED,,
final_BL_2024_007,BL,2024,RB Leipzig,Bayer Leverkusen,2026-01-09 19:45:19.873132,SCHEDULED,,
final_BL_2024_008,BL,2024,Bayer Leverkusen,Eintracht Frankfurt,2026-01-10 19:45:19.876130,SCHEDULED,,
final_BL_2024_009,BL,2024,Eintracht Frankfurt,Bayern Munich,2026-01-11 19:45:19.879130,SCHEDULED,,
final_BL_2024_010,BL,2024,Bayern Munich,Borussia Dortmund,2026-01-12 19:45:19.881129,SCHEDULED,,
final_BL_2024_011,BL,2024,Borussia Dortmund,RB Leipzig,2026-01-13 19:45:19.884129,SCHEDULED,,
final_BL_2024_012,BL,2024,RB Leipzig,Bayer Leverkusen,2026-01-14 19:45:19.886129,SCHEDULED,,
final_BL_2024_013,BL,2024,Bayer Leverkusen,Eintracht Frankfurt,2026-01-15 19:45:19.888128,SCHEDULED,,
final_BL_2024_014,BL,2024,Eintracht Frankfurt,Bayern Munich,2026-01-16 19:45:19.896134,SCHEDULED,,
