id,league,season,home_team,away_team,match_date,status,home_score,away_score
final_PL_2024_000,PL,2024,Arsenal,Chelsea,2026-01-02 19:45:18.966136,SCHEDULED,,
final_PL_2024_001,PL,2024,Chelsea,Liverpool,2026-01-03 19:45:18.980133,SCHEDULED,,
final_PL_2024_002,PL,2024,Liverpool,Man City,2026-01-04 19:45:18.983133,SCHEDULED,,
final_PL_2024_003,PL,2024,Man City,Man United,2026-01-05 19:45:19.011134,SCHEDULED,,
final_PL_2024_004,PL,2024,Man United,Tottenham,2026-01-06 19:45:19.014133,SCHEDULED,,
final_PL_2024_005,PL,2024,Tottenham,Arsenal,2026-01-07 19:45:19.016133,SCHEDULED,,
final_PL_2024_006,PL,2024,Arsenal,Chelsea,2026-01-08 19:45:19.019133,SCHEDULED,,
final_PL_2024_007,PL,2024,Chelsea,Liverpool,2026-01-09 19:45:19.021132,SCHEDULED,,
final_PL_2024_008,PL,2024,Liverpool,Man City,2026-01-10 19:45:19.026132,SCHEDULED,,
final_PL_2024_009,PL,2024,Man City,Man United,2026-01-11 19:45:19.029134,SCHEDULED,,
final_PL_2024_010,PL,2024,Man United,Tottenham,2026-01-12 19:45:19.032134,SCHEDULED,,
final_PL_2024_011,PL,2024,Tottenham,Arsenal,2026-01-13 19:45:19.034134,SCHEDULED,,
final_PL_2024_012,PL,2024,Arsenal,Chelsea,2026-01-14 19:45:19.037132,SCHEDULED,,
final_PL_2024_013,PL,2024,Chelsea,Liverpool,2026-01-15 19:45:19.041139,SCHEDULED,,
final_PL_2024_014,PL,2024,Liverpool,Man City,2026-01-16 19:45:19.043131,SCHEDULED,,
