id,league,season,home_team,away_team,match_date,status,home_score,away_score
test_PL_2024_0,PL,2024,Arsenal,Chelsea,2026-01-02 19:19:37.675391,SCHEDULED,,
test_PL_2024_1,PL,2024,Chelsea,Liverpool,2026-01-03 19:19:37.698389,SCHEDULED,,
test_PL_2024_2,PL,2024,Liverpool,Man City,2026-01-04 19:19:37.732393,SCHEDULED,,
test_PL_2024_3,PL,2024,Man City,Arsenal,2026-01-05 19:19:37.736387,SCHEDULED,,
test_PL_2024_4,PL,2024,Arsenal,Chelsea,2026-01-06 19:19:37.753388,SCHEDULED,,
test_PL_2024_5,PL,2024,Chelsea,Liverpool,2026-01-07 19:19:37.763392,SCHEDULED,,
test_PL_2024_6,PL,2024,Liverpool,Man City,2026-01-08 19:19:37.765390,SCHEDULED,,
test_PL_2024_7,PL,2024,Man City,Arsenal,2026-01-09 19:19:37.771387,SCHEDULED,,
test_PL_2024_8,PL,2024,Arsenal,Chelsea,2026-01-10 19:19:37.774390,SCHEDULED,,
test_PL_2024_9,PL,2024,Chelsea,Liverpool,2026-01-11 19:19:37.776388,SCHEDULED,,
